Video_Origen	ID_Video	Usuario	Comentario	Likes	Hace cuanto tiempo
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@luzgonzalessosa4177	Xd😂😂😂	0	4 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@paodelosangeleslopezparral8992	😱😍😍	2	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@FloChaVi	Por favor! Qué trabajo tan bello!	1	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@jesusperez7214	Exelente.	1	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@marcosegura2346	QUE CANCIÓN!	2	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@yonisaur9709	Hola ustedes me dieron clases xdxd	2	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@melopsicodelia	Hermoso! Español y Lesco, dos lenguas de Tiquicia 🇨🇷💞 y esa canción que hasta las lágrimas saca.	5	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@eduardofallas3642	"Me sacó las lágrimas. 
Que linda forma de cantar esta canción 💕👏"	7	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@marioalejandrogonzalezzuni8440	Que excelente trabajo, da orgullo y ganas de representar lo mejor del tico.	3	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@Angie1587	Demasiado chiva ❤🇨🇷	1	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@jesicacoto9284	👏👏👏👏🇨🇷🇨🇷💞💞	1	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@Dayi19315	Que bonito 🇨🇷	4	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@olgerobando7622	Muy bueno felicidades 👍	2	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@devaru5554	Me alegraron setiembre 😭❤	4	6 years ago
https://www.youtube.com/watch?v=-jhkvYe3DIE	-jhkvYe3DIE	@yureilypalmasanchez5310	👏👏👏	2	6 years ago
https://www.youtube.com/watch?v=-n8sDCY06HA	-n8sDCY06HA	@karenchaves9578	Hola Jason...los videos que ustedes hacen son muy buenos y útiles. Yo he aprendido bastante vocabulario, casi todos los días dedico tiempo a ver su contenido,  pero tengo una pregunta : ¿ Cuál es el orden de las oraciones? Eje: Sujeto + verbo + completo. Es que no lo logro captar.  Gracias	0	2 years ago
https://www.youtube.com/watch?v=-n8sDCY06HA	-n8sDCY06HA	@FabioJimenez-q1x	Muchas gracias!!! ❣	1	2 years ago
https://www.youtube.com/watch?v=-n8sDCY06HA	-n8sDCY06HA	@jsonreviewing110	"Hola hola!!

Muchisímas Gracias por el tiempo que nos dedícas!

Desgraciadamente, las lecciones a futuro iban a ser precisamente, frases compuestas, un ejemplo: Me gusta salir a jugar futbol.

Cómo para que se viera el cómo artícular cada palabra.

Pero el tiempo, la distancía y que ya Rebe y yo no trabajamos en el mismo lugar, nos ha impedido grabar más contenido y por ende, subirlo al canal.

Factores ecónomicos me impíden pedirle a Rebe que dedíquemos un día a grabar vídeos, ya que ella víve largo.
Estos los grabamos en los tiempos líbres cuando trabajabamos en el mismo lugar."	0	2 years ago
https://www.youtube.com/watch?v=-n8sDCY06HA	-n8sDCY06HA	@karenchaves9578	 @jsonreviewing110  Okey Jason. Qué pena, pero lo comprendo perfectamente.  Muchas gracias por contestarme y espero que sigas teniendo éxito en todos tus proyectos. Saludos desde Escazú.	1	2 years ago (edited)
https://www.youtube.com/watch?v=-uFy7MPFIKg	-uFy7MPFIKg	@MagicalParadise-b5s	"Yo AMÉ está pelicula!!

Amé el video"	1	2 months ago
https://www.youtube.com/watch?v=-uFy7MPFIKg	-uFy7MPFIKg	@jsonreviewing110	Graciasssssss ❤🎉	0	2 months ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@karenchaves9578	Me encantan estos videos.	1	2 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@rebvilla1	Gracias	1	2 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@milenalopezvillegas3835	"hola buenos días, yo soy una mujer de 49 años, y siempre quise aprender lesco ahora con esta tecnología puedo aprender, dure muchos años trabajando con clientes y solo sabia decir gracias
ahora estoy cuidando a mis padres que son adultos mayores y a mis hijos que todavía son adolescentes. Y tengo un rato  de ocio en las mañanas talvez algún día pueda volver a trabajar y así dar un mejor servicio a todo el mundo. Gracias por tu tiempo para que podamos aprender"	1	2 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@FabioJimenez-q1x	"Hola, cómo se dice ""Ninguno"". Gracias."	0	3 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@edgardomendezvargas6630	Que bueno, sube la audiencia. Ojalá más personas quieran aprender. 👏👏👏👏👏👏👏👏	0	3 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@jsonreviewing110	Graciasssssss	0	2 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@jsonreviewing110	A ti. 🌹	0	2 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@jsonreviewing110	"Hola doña Milena!

La tecnología es una gran ayuda en estos días!

Gracias por dedicarnos ese ratito de ocio para practícar con nosotros!
Espero le sea de muchisimo provecho nuestro canal!

Que disfrute y aprenda bastante!
Lindo día!

-Json"	0	2 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@jsonreviewing110	"https://youtube.com/shorts/PZrWledinDM?feature=share

Hola! Acá esta la seña de ""Ningún"", que es la misma de Ninguno.

También esta en el vídeo de ""Compilación"" de Short."	0	3 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@FabioJimenez-q1x	Excelente, gracias!!	0	2 years ago
https://www.youtube.com/watch?v=0-endP9mRys	0-endP9mRys	@jsonreviewing110	"OJALA! Me gustaria llegar a más personas y esperemos pronto sea así!

Vamos por esos 200 suscríptores! 💪🏻💪🏻💪🏻"	2	3 years ago
https://www.youtube.com/watch?v=0F8NYrFRcvo	0F8NYrFRcvo	@peterjeanguerrero305	"Exelente interpretacion  jovenes 
Yo soy estudiante lesco basico 
#5"	1	3 years ago
https://www.youtube.com/watch?v=0F8NYrFRcvo	0F8NYrFRcvo	@magajara6518	Muchas gracias!	0	3 years ago
https://www.youtube.com/watch?v=0F8NYrFRcvo	0F8NYrFRcvo	@peterjeanguerrero305	" @magajara6518  gracias a ustedes  exelente trabajo inclusivo  yo  admiro y respeto el lesco  y quiero 
Capacitarme  estoy luchando para ganar el nivel 5 . Bendiciones jovenes interpretes"	1	3 years ago
https://www.youtube.com/watch?v=0f2IeO2D0E8	0f2IeO2D0E8	@SoniaLorenaAlvaradoMora-k3w	❤	1	2 weeks ago
https://www.youtube.com/watch?v=0f2IeO2D0E8	0f2IeO2D0E8	@edgardomendezvargas6630	"Que bueno que estés compartiendo estos videos para aprender.
Hasta que por fin you tube sugiere algo provechoso y de mi país.
Veré desde el principio.
Mi like y suscripción"	2	3 years ago
https://www.youtube.com/watch?v=0f2IeO2D0E8	0f2IeO2D0E8	@jsonreviewing110	"Muchisimas Gracias nuevamente mi amigo!

Son muchos temas los que queremos abarcar, LESCO es un idíoma enorme y super interesante!

Y esperamos poner nuestro granito de arena para estándarizarlo!"	0	3 years ago
https://www.youtube.com/watch?v=0glJRf0gPgk	0glJRf0gPgk	@alexaaaaaaa	holaaaa como se seña cartuchera??	1	1 year ago
https://www.youtube.com/watch?v=0glJRf0gPgk	0glJRf0gPgk	@peterjeanguerrero305	Exelente trabajo	1	2 years ago
https://www.youtube.com/watch?v=0glJRf0gPgk	0glJRf0gPgk	@camilaescobar9485	Holaaa muchas gracias por los vídeos y la constancia creeanme que sí los veo y aprendo un montón se les agradece demasiadooo🤘🤘♥️	0	2 years ago
https://www.youtube.com/watch?v=0glJRf0gPgk	0glJRf0gPgk	@nnrmz	Holaa, hace bastante estoy interesada en aprender Lesco y acabo de encontrar su canal, me encanta la variedad de frases y palabras. Del abc yo no había podido pasar. Demasiado linda, profe, gracias 🤟🤟	1	2 years ago
https://www.youtube.com/watch?v=0glJRf0gPgk	0glJRf0gPgk	@jsonreviewing110	Graciasssss Peter!	0	2 years ago
https://www.youtube.com/watch?v=0glJRf0gPgk	0glJRf0gPgk	@jsonreviewing110	"Muchisisímas Gracias por tu apoyo!!

Compártelo para que más personas aprendamos LESCO juntos!!"	0	2 years ago
https://www.youtube.com/watch?v=0kbgGe32VJ8	0kbgGe32VJ8	@peterjeanguerrero305	"Super MEGA  me encanta 
Exelente Docente"	0	2 years ago
https://www.youtube.com/watch?v=0kbgGe32VJ8	0kbgGe32VJ8	@EdieLinarte	TENGO QUE ESTUDIAR PARA PASAR A CUARTO Y ESTOY ENPESANDO A ENLOQUESER	0	2 years ago
https://www.youtube.com/watch?v=0kbgGe32VJ8	0kbgGe32VJ8	@FabioJimenez-q1x	Muchas gracias, muy útil.	0	2 years ago
https://www.youtube.com/watch?v=0kbgGe32VJ8	0kbgGe32VJ8	@jsonreviewing110	EXCELENTE ALUMNO! 💖	0	2 years ago
https://www.youtube.com/watch?v=0kbgGe32VJ8	0kbgGe32VJ8	@jsonreviewing110	Jaja, no tepreocupes, te va a ir bien!	0	2 years ago
https://www.youtube.com/watch?v=0kbgGe32VJ8	0kbgGe32VJ8	@EdieLinarte	 @jsonreviewing110  Muchas gracias tube un 100 en el examen	0	2 years ago (edited)
https://www.youtube.com/watch?v=0kbgGe32VJ8	0kbgGe32VJ8	@jsonreviewing110	A usted por vernos!	0	2 years ago
